personalService,control,financialRisk,partAndParcel,finalDecision,result
MEDIUM,MEDIUM,LOW,HIGH,INIR35
MEDIUM,MEDIUM,LOW,MEDIUM,INIR35
MEDIUM,MEDIUM,LOW,LOW,UNKNOWN
MEDIUM,HIGH,LOW,LOW,INIR35
MEDIUM,HIGH,LOW,MEDIUM,INIR35
MEDIUM,HIGH,LOW,HIGH,INIR35
HIGH,MEDIUM,LOW,LOW,INIR35
HIGH,MEDIUM,LOW,MEDIUM,INIR35
HIGH,MEDIUM,LOW,HIGH,INIR35
HIGH,HIGH,LOW,LOW,INIR35
HIGH,HIGH,LOW,MEDIUM,INIR35
HIGH,HIGH,LOW,HIGH,INIR35
HIGH,HIGH,MEDIUM,LOW,INIR35
HIGH,HIGH,MEDIUM,MEDIUM,INIR35
MEDIUM,MEDIUM,MEDIUM,LOW,UNKNOWN
MEDIUM,MEDIUM,MEDIUM,MEDIUM,UNKNOWN
MEDIUM,MEDIUM,MEDIUM,HIGH,UNKNOWN
MEDIUM,HIGH,MEDIUM,LOW,INIR35
MEDIUM,HIGH,MEDIUM,MEDIUM,INIR35
MEDIUM,HIGH,MEDIUM,HIGH,INIR35
HIGH,MEDIUM,MEDIUM,LOW,UNKNOWN
HIGH,MEDIUM,MEDIUM,MEDIUM,UNKNOWN
HIGH,MEDIUM,MEDIUM,HIGH,INIR35
HIGH,HIGH,MEDIUM,HIGH,INIR35
