workerProvidedMaterials,workerProvidedEquipment,workerUsedVehicle,workerHadOtherExpenses,expensesAreNotRelevantForRole,workerMainIncome,paidForSubstandardWork,,
YES,,,,,,,OutOfIR35,TRUE
,YES,,,,,,OutOfIR35,TRUE
,,YES,,,,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,YES,YES,,,,OutOfIR35,TRUE
,,,,YES,incomeCommission,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,YES,,incomeCommission,,OutOfIR35,TRUE
,,,,YES,incomeFixed,asPartOfUsualRateInWorkingHours,LOW,FALSE
,,,,YES,incomeFixed,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,,YES,incomeProfitOrLosses,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,YES,,incomeProfitOrLosses,,OutOfIR35,TRUE
,,,YES,,incomeCalendarPeriods,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,YES,,incomeFixed,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,YES,,incomePieceRate,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,,YES,incomeCalendarPeriods,noObligationToCorrect,LOW,FALSE
,,,,YES,incomePieceRate,noObligationToCorrect,LOW,FALSE
,,,,YES,incomeCalendarPeriods,asPartOfUsualRateInWorkingHours,LOW,FALSE
,,,,YES,incomeCalendarPeriods,,LOW,FALSE
,,,,YES,incomePieceRate,asPartOfUsualRateInWorkingHours,LOW,FALSE
,,,,YES,incomePieceRate,,LOW,FALSE
,,,,YES,incomePieceRate,cannotBeCorrected,LOW,FALSE
,,,,YES,incomeCalendarPeriods,cannotBeCorrected,LOW,FALSE
,,,,YES,incomePieceRate,outsideOfHoursNoCosts,LOW,FALSE
,,,,YES,incomeFixed,cannotBeCorrected,LOW,FALSE
,,,,YES,incomeFixed,noObligationToCorrect,LOW,FALSE
